ID,Severity,Location (line),Issue,Fix Prompt
QB-001,Critical,1218,CDN Lodash import violates the air-gapped requirement and is dead code — the cdnjs script tag is the only external network reference in the file and `_` is never used anywhere,"In query_builder_with_metadata_csv_v1_21.html, delete the cdnjs Lodash script tag at line 1218. Lodash is not referenced anywhere in the file, so no replacement is needed. Verify no `_.` usages exist before removing."
QB-002,Critical,2657-2672,SAS_CONFIG race condition crashes Logon/Sign-out — loadConfig() populates window.SAS_CONFIG asynchronously; clicking Logon or Sign out before it resolves throws TypeError on undefined with no user feedback,"In query_builder_with_metadata_csv_v1_21.html, add a guard at the top of handleLogon (line 2657) and handleSignOut (line 2665): if (!window.SAS_CONFIG) { alert('Configuration is still loading — try again in a moment.'); return; }. For sign-out, still clear window.session and localStorage before the guard so local state is always reset."
QB-003,Critical,"2187, 2226",sessionStorage quota overflow is unhandled — viewGrid() and visualizeData() serialize the entire dataset; a wide 1000-row result exceeds the ~5MB quota and throws QuotaExceededError after the fetch but before window.open so the user sees nothing,"In query_builder_with_metadata_csv_v1_21.html, wrap the sessionStorage.setItem calls at lines 2187 and 2226 in try/catch. On QuotaExceededError, alert the user that the result set is too large to hand off to the viewer and suggest adding filters, then return without calling window.open."
QB-004,High,2141,CSV export produces malformed files for values containing newlines — convertJSONToCSV quotes commas and double-quotes but not \n or \r as RFC 4180 requires; multi-line fields split one record across two physical lines,"In query_builder_with_metadata_csv_v1_21.html line 2141, extend the CSV quoting condition in convertJSONToCSV to value.includes(',') || value.includes('""') || value.includes('\n') || value.includes('\r') so multi-line values are quoted per RFC 4180."
QB-005,High,2123,applyDistinct silently drops rows on delimiter collision — the dedupe key joins values with '|' so two different rows can produce the same key and one is silently discarded,"In query_builder_with_metadata_csv_v1_21.html line 2123, change the applyDistinct dedupe key from columns.map(col => row[col]).join('|') to JSON.stringify(columns.map(col => row[col])) so values containing the pipe character cannot collide."
QB-006,High,2094-2095,The <> operator does string comparison only — the = case tries both string and numeric equality but <> only does the string test so filtering a numeric column with <> 5.0 wrongly keeps rows where the value is 5,"In query_builder_with_metadata_csv_v1_21.html lines 2094-2095, make the '<>' case in applyFilters the exact logical negation of the '=' case: return !(String(columnValue).toLowerCase() === filterValue.toLowerCase() || Number(columnValue) === Number(filterValue))."
QB-007,High,2096-2102,"Numeric comparison operators silently return zero rows on non-numeric input — Number('abc') is NaN and every NaN comparison is false, so the filter excludes all rows with no error or hint","In query_builder_with_metadata_csv_v1_21.html, in applyFilters (lines 2096-2102), when the operator is >, <, >= or <= and Number(filterValue) is NaN, surface a validation warning (e.g., 'Filter value must be numeric for the > operator') instead of silently comparing against NaN."
QB-008,High,1764,SQL preview promises TOP 5 but file-based fetches return every matching row — the limit is real for db datasets but purely cosmetic for file datasets so the preview and actual behavior disagree,"In query_builder_with_metadata_csv_v1_21.html, add a 'Row limit' numeric input (default 5) to the UI, use it in buildSQLQuery (line 1764) instead of the hardcoded TOP 5, and enforce the same limit on the file-dataset path by slicing the filtered array in fetchData before returning, so preview and behavior match for both source types."
QB-009,High,2295,Blob URL memory leak in exportCSV — URL.createObjectURL(blob) is never released with revokeObjectURL so each export pins the blob in memory for the page's lifetime,"In query_builder_with_metadata_csv_v1_21.html, after link.click() in exportCSV (around line 2300), add setTimeout(() => URL.revokeObjectURL(url), 1000); to release the blob URL."
QB-010,High,1294,NEW — Metadata map build crashes on legacy/malformed CSV silently disabling ALL metadata — meta.PHYSICAL_COLUMN_NAME.toUpperCase() throws on undefined when an old-format CSV (COLUMN_NAME header) or a row missing the field is loaded; the catch swallows it and every column shows 'No metadata available',"In query_builder_with_metadata_csv_v1_21.html line 1294, make the metadata map build defensive: const key = meta.PHYSICAL_COLUMN_NAME || meta.COLUMN_NAME; if (key) metadataMap[key.toUpperCase()] = meta; — accept the legacy COLUMN_NAME header as a fallback, skip rows with neither, and show a visible warning banner when zero metadata entries load."
